Species	Symbol	Ensembl	Family	Protein	Entrez_ID
Mus_musculus	Zbtb21	ENSMUSG00000046962	ZBTB	ENSMUSP00000109363.3;ENSMUSP00000156033.2;ENSMUSP00000052127.8;ENSMUSP00000068283.8;ENSMUSP00000156042.2;	114565
Mus_musculus	Tox3	ENSMUSG00000043668	HMG	ENSMUSP00000105250.4;ENSMUSP00000135697.2;	244579
Mus_musculus	Zbtb1	ENSMUSG00000033454	ZBTB	ENSMUSP00000041955.4;ENSMUSP00000041955.4;	268564
Mus_musculus	Arx	ENSMUSG00000035277	Homeobox	ENSMUSP00000049039.8;ENSMUSP00000109580.3;	11878
Mus_musculus	Thap7	ENSMUSG00000022760	THAP	ENSMUSP00000155899.2;ENSMUSP00000156168.2;ENSMUSP00000097701.4;	69009
Mus_musculus	Zfp26	ENSMUSG00000063108	zf-C2H2	ENSMUSP00000124075.2;	22688
Mus_musculus	Gfi1b	ENSMUSG00000026815	zf-C2H2	ENSMUSP00000128052.2;ENSMUSP00000028156.8;	14582
Mus_musculus	Foxh1	ENSMUSG00000033837	Fork_head	ENSMUSP00000036591.5;	14106
Mus_musculus	Pou4f2	ENSMUSG00000031688	Pou	ENSMUSP00000034115.3;	18997
Mus_musculus	Satb2	ENSMUSG00000038331	CUT	ENSMUSP00000135391.2;ENSMUSP00000110057.4;ENSMUSP00000046067.8;	212712
Mus_musculus	Rhox2d	ENSMUSG00000095698	Homeobox	ENSMUSP00000110833.3;	434760
Mus_musculus	Zfp827	ENSMUSG00000071064	zf-C2H2	ENSMUSP00000113199.2;ENSMUSP00000085238.5;ENSMUSP00000096214.3;ENSMUSP00000114208.2;ENSMUSP00000120913.2;ENSMUSP00000158613.2;ENSMUSP00000119511.2;	622675
Mus_musculus	Gm9048	ENSMUSG00000112495	MYB	ENSMUSP00000151669.2;	668213
Mus_musculus	Lhx1	ENSMUSG00000018698	Homeobox	ENSMUSP00000138899.3;ENSMUSP00000018842.7;	16869
Mus_musculus	Klf13	ENSMUSG00000052040	zf-C2H2	ENSMUSP00000067680.8;	50794
Mus_musculus	Zfp997	ENSMUSG00000095909	zf-C2H2	ENSMUSP00000090190.6;ENSMUSP00000158820.2;	628709
Mus_musculus	Pou3f1	ENSMUSG00000090125	Pou	ENSMUSP00000137374.2;	18991
Mus_musculus	Zfp874b	ENSMUSG00000059839	zf-C2H2	ENSMUSP00000019572.7;ENSMUSP00000153242.2;	408067
Mus_musculus	Hoxa7	ENSMUSG00000038236	Homeobox	ENSMUSP00000048648.7;	NA
Mus_musculus	Sall2	ENSMUSG00000049532	zf-C2H2	ENSMUSP00000056401.5;ENSMUSP00000154331.2;	50524
Mus_musculus	Batf	ENSMUSG00000034266	TF_bZIP	ENSMUSP00000040706.6;	53314
Mus_musculus	Nfatc4	ENSMUSG00000023411	RHD	ENSMUSP00000154682.2;ENSMUSP00000024179.6;ENSMUSP00000132763.2;	73181
Mus_musculus	Trps1	ENSMUSG00000038679	zf-GATA	ENSMUSP00000077089.6;ENSMUSP00000139115.2;ENSMUSP00000129779.2;ENSMUSP00000139017.2;ENSMUSP00000139063.2;ENSMUSP00000138905.2;	83925
Mus_musculus	Klf9	ENSMUSG00000033863	zf-C2H2	ENSMUSP00000045639.2;	NA
Mus_musculus	Rfx6	ENSMUSG00000019900	RFX	ENSMUSP00000151430.2;ENSMUSP00000116057.2;	320995
Mus_musculus	Sall1	ENSMUSG00000031665	zf-C2H2	ENSMUSP00000034090.7;	58198
Mus_musculus	Zbtb14	ENSMUSG00000049672	ZBTB	ENSMUSP00000108294.2;ENSMUSP00000108294.2;ENSMUSP00000108296.3;ENSMUSP00000054897.8;	NA
Mus_musculus	Sp1	ENSMUSG00000001280	zf-C2H2	ENSMUSP00000001326.6;ENSMUSP00000130747.2;	20683
Mus_musculus	Egr4	ENSMUSG00000071341	zf-C2H2	ENSMUSP00000093433.4;	NA
Mus_musculus	Rfx1	ENSMUSG00000031706	RFX	ENSMUSP00000147677.2;ENSMUSP00000005600.6;	19724
Mus_musculus	Hoxb3	ENSMUSG00000048763	Homeobox	ENSMUSP00000091476.4;ENSMUSP00000053426.3;	15410
Mus_musculus	Nr1d1	ENSMUSG00000020889	THR-like	ENSMUSP00000069505.7;	217166
Mus_musculus	Ikzf5	ENSMUSG00000040167	zf-C2H2	ENSMUSP00000123530.2;ENSMUSP00000035583.9;	67143
Mus_musculus	Zfp541	ENSMUSG00000078796	zf-C2H2	ENSMUSP00000104149.2;ENSMUSP00000147475.2;ENSMUSP00000148143.2;	666528
Mus_musculus	Zfp366	ENSMUSG00000050919	zf-C2H2	ENSMUSP00000060040.9;	238803
Mus_musculus	Sox12	ENSMUSG00000051817	HMG	ENSMUSP00000138293.2;ENSMUSP00000064250.8;	20667
Mus_musculus	Tbx18	ENSMUSG00000032419	T-box	ENSMUSP00000034991.8;	76365
Mus_musculus	Deaf1	ENSMUSG00000058886	SAND	ENSMUSP00000147728.2;ENSMUSP00000079395.8;ENSMUSP00000148125.2;ENSMUSP00000147631.2;ENSMUSP00000148149.2;	54006
Mus_musculus	Rbak	ENSMUSG00000061898	zf-C2H2	ENSMUSP00000128731.2;ENSMUSP00000059273.5;	57782
Mus_musculus	Setdb1	ENSMUSG00000015697	MBD	ENSMUSP00000102789.4;ENSMUSP00000102788.3;ENSMUSP00000015841.6;	84505
Mus_musculus	Cux1	ENSMUSG00000029705	CUT	ENSMUSP00000004097.9;ENSMUSP00000135223.3;ENSMUSP00000135086.2;ENSMUSP00000135370.3;ENSMUSP00000135892.2;	13047
Mus_musculus	B020011L13Rik	ENSMUSG00000101303	zf-C2H2	ENSMUSP00000140211.2;	547097
Mus_musculus	Zbtb40	ENSMUSG00000060862	ZBTB	ENSMUSP00000151856.2;ENSMUSP00000061899.8;ENSMUSP00000061899.8;	230848
Mus_musculus	Gm14444	ENSMUSG00000078906	zf-C2H2	ENSMUSP00000104698.3;	105244402
Mus_musculus	Lbx2	ENSMUSG00000034968	Homeobox	ENSMUSP00000047134.3;	NA
Mus_musculus	Pbx1	ENSMUSG00000052534	Homeobox	ENSMUSP00000140606.2;ENSMUSP00000135516.2;ENSMUSP00000134925.2;ENSMUSP00000066385.5;ENSMUSP00000072640.5;	18514
Mus_musculus	Mxd4	ENSMUSG00000037235	bHLH	ENSMUSP00000039071.7;ENSMUSP00000113300.2;	17122
Mus_musculus	Zeb1	ENSMUSG00000024238	zf-C2H2	ENSMUSP00000025081.6;ENSMUSP00000124395.2;	21417
Mus_musculus	Fli1	ENSMUSG00000016087	ETS	ENSMUSP00000016231.7;	14247
Mus_musculus	Neurog3	ENSMUSG00000044312	bHLH	ENSMUSP00000054054.2;ENSMUSP00000151551.2;	11925
Mus_musculus	Tead3	ENSMUSG00000002249	TEA	ENSMUSP00000118582.3;ENSMUSP00000115443.3;ENSMUSP00000152030.3;ENSMUSP00000110447.2;	21678
Mus_musculus	Esx1	ENSMUSG00000023443	Homeobox	ENSMUSP00000074262.3;ENSMUSP00000108689.3;	13984
Mus_musculus	Nkx3-2	ENSMUSG00000049691	Homeobox	ENSMUSP00000051990.7;	12020
Mus_musculus	Zfp160	ENSMUSG00000067942	zf-C2H2	ENSMUSP00000086191.6;ENSMUSP00000155977.2;	224585
Mus_musculus	Prox1	ENSMUSG00000010175	HPD	ENSMUSP00000135066.2;ENSMUSP00000010319.8;ENSMUSP00000135703.2;	19130
Mus_musculus	AW146154	ENSMUSG00000074166	zf-C2H2	ENSMUSP00000096109.4;	101835
Mus_musculus	Otx2	ENSMUSG00000021848	TF_Otx	ENSMUSP00000112532.2;ENSMUSP00000113930.2;ENSMUSP00000113690.2;ENSMUSP00000116630.2;ENSMUSP00000123454.2;ENSMUSP00000122200.2;ENSMUSP00000154264.2;ENSMUSP00000154066.2;	18424
Mus_musculus	Ferd3l	ENSMUSG00000046518	bHLH	ENSMUSP00000058994.4;	114712
Mus_musculus	Stat5a	ENSMUSG00000004043	STAT	ENSMUSP00000102979.2;ENSMUSP00000004145.8;ENSMUSP00000102980.3;	20850
Mus_musculus	Zfp54	ENSMUSG00000023882	zf-C2H2	ENSMUSP00000007884.9;ENSMUSP00000127089.2;ENSMUSP00000132983.2;	22712
Mus_musculus	Zfp84	ENSMUSG00000046185	zf-C2H2	ENSMUSP00000032802.5;	74352
Mus_musculus	Stat2	ENSMUSG00000040033	STAT	ENSMUSP00000100872.4;ENSMUSP00000082855.3;	20847
Mus_musculus	Msx2	ENSMUSG00000021469	Homeobox	ENSMUSP00000021922.8;	17702
Mus_musculus	Pdx1	ENSMUSG00000029644	Homeobox	ENSMUSP00000082729.6;	18609
Mus_musculus	Arid5a	ENSMUSG00000037447	ARID	ENSMUSP00000095385.3;ENSMUSP00000110683.2;ENSMUSP00000110684.2;ENSMUSP00000115490.2;	214855
Mus_musculus	Mier2	ENSMUSG00000042570	MYB	ENSMUSP00000127387.2;ENSMUSP00000059864.9;	70427
Mus_musculus	Tead4	ENSMUSG00000030353	TEA	ENSMUSP00000006311.7;ENSMUSP00000107784.3;ENSMUSP00000118083.2;	21679
Mus_musculus	Six2	ENSMUSG00000024134	Homeobox	ENSMUSP00000125871.3;ENSMUSP00000024947.8;	20472
Mus_musculus	Tfap2c	ENSMUSG00000028640	AP-2	ENSMUSP00000129922.2;ENSMUSP00000096657.4;ENSMUSP00000030391.3;	21420
Mus_musculus	Insm1	ENSMUSG00000068154	zf-C2H2	ENSMUSP00000092048.4;	53626
Mus_musculus	Sox15	ENSMUSG00000041287	HMG	ENSMUSP00000048524.6;	20670
Mus_musculus	Zfp949	ENSMUSG00000032425	zf-C2H2	ENSMUSP00000125325.2;ENSMUSP00000125017.2;	71640
Mus_musculus	Dach1	ENSMUSG00000055639	DACH	ENSMUSP00000064970.8;ENSMUSP00000071464.7;	13134
Mus_musculus	Mxi1	ENSMUSG00000025025	bHLH	ENSMUSP00000157822.2;ENSMUSP00000107366.3;ENSMUSP00000025998.9;ENSMUSP00000157790.2;ENSMUSP00000158401.2;ENSMUSP00000003870.8;ENSMUSP00000157400.2;	17859
Mus_musculus	Hsf3	ENSMUSG00000045802	HSF	ENSMUSP00000052508.5;ENSMUSP00000114018.3;ENSMUSP00000132248.2;ENSMUSP00000137314.2;	245525
Mus_musculus	Id4	ENSMUSG00000021379	bHLH	ENSMUSP00000021810.2;	15904
Mus_musculus	Zfp174	ENSMUSG00000054939	zf-C2H2	ENSMUSP00000045805.8;	385674
Mus_musculus	Zfp970	ENSMUSG00000078866	zf-C2H2	ENSMUSP00000104580.4;	628308
Mus_musculus	Zfp617	ENSMUSG00000066880	zf-C2H2	ENSMUSP00000112926.2;ENSMUSP00000120213.2;	170938
Mus_musculus	Smad5	ENSMUSG00000021540	MH1	ENSMUSP00000105500.2;ENSMUSP00000065798.8;ENSMUSP00000105502.2;	17129
Mus_musculus	Rlf	ENSMUSG00000049878	zf-C2H2	ENSMUSP00000050825.6;ENSMUSP00000127068.2;	109263
Mus_musculus	Nkx6-2	ENSMUSG00000041309	Homeobox	ENSMUSP00000095588.3;ENSMUSP00000101701.3;	14912
Mus_musculus	Jazf1	ENSMUSG00000063568	zf-C2H2	ENSMUSP00000074129.6;	231986
Mus_musculus	Gm2381	ENSMUSG00000092225	zf-C2H2	ENSMUSP00000133949.2;	NA
Mus_musculus	Zic3	ENSMUSG00000067860	zf-C2H2	ENSMUSP00000086003.5;ENSMUSP00000085999.5;ENSMUSP00000086001.4;	22773
Mus_musculus	Zfp119b	ENSMUSG00000062101	zf-C2H2	ENSMUSP00000139791.2;ENSMUSP00000058300.8;	240120
Mus_musculus	Gsx1	ENSMUSG00000053129	Homeobox	ENSMUSP00000069728.6;	NA
Mus_musculus	Rhox1	ENSMUSG00000071773	Homeobox	ENSMUSP00000110865.2;	385343
Mus_musculus	Zbtb20	ENSMUSG00000022708	ZBTB	ENSMUSP00000110342.3;ENSMUSP00000110342.3;ENSMUSP00000110339.2;ENSMUSP00000124189.2;ENSMUSP00000078410.7;ENSMUSP00000125016.2;ENSMUSP00000124126.2;ENSMUSP00000110343.3;ENSMUSP00000110338.2;	56490
Mus_musculus	Zfp989	ENSMUSG00000086147	zf-C2H2	ENSMUSP00000135720.2;	NA
Mus_musculus	Neurod1	ENSMUSG00000034701	bHLH	ENSMUSP00000040364.5;	18012
Mus_musculus	Foxb2	ENSMUSG00000056829	Fork_head	ENSMUSP00000072687.3;	NA
Mus_musculus	Foxn3	ENSMUSG00000033713	Fork_head	ENSMUSP00000135082.2;ENSMUSP00000036035.5;ENSMUSP00000135749.3;ENSMUSP00000082189.2;ENSMUSP00000135814.2;	71375
Mus_musculus	Erfl	ENSMUSG00000108367	ETS	ENSMUSP00000146932.2;	232974
Mus_musculus	Tbx15	ENSMUSG00000027868	T-box	ENSMUSP00000029462.6;ENSMUSP00000143417.2;ENSMUSP00000142358.2;	21384
Mus_musculus	Hey2	ENSMUSG00000019789	bHLH	ENSMUSP00000019924.9;	15214
Mus_musculus	Pou5f2	ENSMUSG00000093668	Pou	ENSMUSP00000135597.2;	75507
Mus_musculus	Sox9	ENSMUSG00000000567	HMG	ENSMUSP00000000579.3;	20682
Mus_musculus	Zbtb45	ENSMUSG00000049600	ZBTB	ENSMUSP00000056086.8;ENSMUSP00000056086.8;ENSMUSP00000147298.2;ENSMUSP00000147298.2;ENSMUSP00000130439.2;	232879
Mus_musculus	Gm4125	ENSMUSG00000117495	TF_bZIP	ENSMUSP00000159029.2;	NA
Mus_musculus	Nr1h4	ENSMUSG00000047638	THR-like	ENSMUSP00000100933.3;ENSMUSP00000053092.9;ENSMUSP00000100934.2;	20186
Mus_musculus	Irf7	ENSMUSG00000025498	IRF	ENSMUSP00000026571.5;ENSMUSP00000095565.3;ENSMUSP00000121026.2;ENSMUSP00000147529.2;ENSMUSP00000101644.2;	54123
Mus_musculus	Zfp457	ENSMUSG00000055341	zf-C2H2	ENSMUSP00000053879.8;ENSMUSP00000153220.2;	431706
Mus_musculus	Tlx1	ENSMUSG00000025215	Homeobox	ENSMUSP00000133627.2;ENSMUSP00000026236.9;	21908
Mus_musculus	Pias2	ENSMUSG00000025423	zf-MIZ	ENSMUSP00000110425.3;ENSMUSP00000110424.3;ENSMUSP00000131485.2;	17344
Mus_musculus	Zfp791	ENSMUSG00000074194	zf-C2H2	ENSMUSP00000147335.2;ENSMUSP00000096150.4;	244556
Mus_musculus	Zfp943	ENSMUSG00000053347	zf-C2H2	ENSMUSP00000059554.9;	74670
Mus_musculus	Zfp873	ENSMUSG00000061371	zf-C2H2	ENSMUSP00000148219.2;ENSMUSP00000100950.2;	408062
Mus_musculus	Zkscan1	ENSMUSG00000029729	zf-C2H2	ENSMUSP00000068480.6;ENSMUSP00000019660.5;ENSMUSP00000106587.2;ENSMUSP00000106588.2;	74570
Mus_musculus	Zfp112	ENSMUSG00000052675	zf-C2H2	ENSMUSP00000150734.2;ENSMUSP00000113031.2;ENSMUSP00000005413.4;	57745
Mus_musculus	Hes7	ENSMUSG00000023781	bHLH	ENSMUSP00000024543.3;	84653
Mus_musculus	Hivep1	ENSMUSG00000021366	zf-C2H2	ENSMUSP00000152442.2;ENSMUSP00000056147.6;	110521
Mus_musculus	Zfp976	ENSMUSG00000074158	zf-C2H2	ENSMUSP00000096105.3;ENSMUSP00000141023.2;	208111
Mus_musculus	Camta1	ENSMUSG00000014592	CG-1	ENSMUSP00000054804.8;ENSMUSP00000095381.3;ENSMUSP00000127916.3;	100072
Mus_musculus	Tfcp2l1	ENSMUSG00000026380	CP2	ENSMUSP00000027629.9;	81879
Mus_musculus	Smad7	ENSMUSG00000025880	MH1	ENSMUSP00000129322.2;ENSMUSP00000026999.4;ENSMUSP00000133544.2;	17131
Mus_musculus	Nfatc2	ENSMUSG00000027544	RHD	ENSMUSP00000074198.4;ENSMUSP00000130875.2;ENSMUSP00000104812.2;ENSMUSP00000118329.2;ENSMUSP00000029057.6;	18019
Mus_musculus	Zfp74	ENSMUSG00000059975	zf-C2H2	ENSMUSP00000103840.2;ENSMUSP00000032797.9;	72723
Mus_musculus	Nkx2-1	ENSMUSG00000001496	Homeobox	ENSMUSP00000001536.8;ENSMUSP00000136103.2;	21869
Mus_musculus	Foxo6	ENSMUSG00000052135	Fork_head	ENSMUSP00000099716.4;	329934
Mus_musculus	Hinfp	ENSMUSG00000032119	zf-C2H2	ENSMUSP00000034629.6;ENSMUSP00000149879.2;	102423
Mus_musculus	Hmga2	ENSMUSG00000056758	HMGA	ENSMUSP00000123998.2;ENSMUSP00000072556.8;	15364
Mus_musculus	Zfp982	ENSMUSG00000078496	zf-C2H2	ENSMUSP00000068021.8;ENSMUSP00000101346.3;	195531
Mus_musculus	Pou2f2	ENSMUSG00000008496	Pou	ENSMUSP00000135075.2;ENSMUSP00000104056.4;ENSMUSP00000104053.3;ENSMUSP00000135326.2;ENSMUSP00000104051.2;ENSMUSP00000104054.3;ENSMUSP00000104055.3;ENSMUSP00000096276.3;	18987
Mus_musculus	Zfp282	ENSMUSG00000025821	zf-C2H2	ENSMUSP00000053643.7;	101095
Mus_musculus	Hmga1b	ENSMUSG00000078249	HMGA	ENSMUSP00000100667.3;	111241
Mus_musculus	Creb3	ENSMUSG00000028466	TF_bZIP	ENSMUSP00000129401.2;ENSMUSP00000100008.5;	12913
Mus_musculus	Thap3	ENSMUSG00000039759	THAP	ENSMUSP00000101290.3;ENSMUSP00000035240.2;	69876
Mus_musculus	Rest	ENSMUSG00000029249	zf-C2H2	ENSMUSP00000079231.6;ENSMUSP00000109076.2;	19712
Mus_musculus	Ikzf4	ENSMUSG00000002578	zf-C2H2	ENSMUSP00000152617.2;ENSMUSP00000158702.2;ENSMUSP00000158614.2;ENSMUSP00000114404.2;ENSMUSP00000152234.2;	22781
Mus_musculus	Atf6	ENSMUSG00000026663	TF_bZIP	ENSMUSP00000027974.6;	226641
Mus_musculus	Zfp9	ENSMUSG00000072623	zf-C2H2	ENSMUSP00000123810.2;	22750
Mus_musculus	Zfp68	ENSMUSG00000058291	zf-C2H2	ENSMUSP00000106530.3;ENSMUSP00000069615.5;ENSMUSP00000083013.5;	24135
Mus_musculus	Ar	ENSMUSG00000046532	ESR-like	ENSMUSP00000052648.8;	11835
Mus_musculus	Zfp455	ENSMUSG00000051037	zf-C2H2	ENSMUSP00000113356.2;ENSMUSP00000112546.2;	218311
Mus_musculus	Obox5	ENSMUSG00000074366	Homeobox	ENSMUSP00000134468.2;ENSMUSP00000134618.2;ENSMUSP00000096400.4;	252829
Mus_musculus	Zkscan14	ENSMUSG00000029627	zf-C2H2	ENSMUSP00000031632.9;ENSMUSP00000124196.2;	67235
Mus_musculus	Tbx22	ENSMUSG00000031241	T-box	ENSMUSP00000112544.2;ENSMUSP00000128247.3;ENSMUSP00000127321.2;ENSMUSP00000063611.6;	245572
Mus_musculus	Zfp986	ENSMUSG00000078500	zf-C2H2	ENSMUSP00000116281.2;ENSMUSP00000130542.2;	NA
Mus_musculus	Rxra	ENSMUSG00000015846	RXR-like	ENSMUSP00000158864.2;ENSMUSP00000133044.2;ENSMUSP00000076491.6;ENSMUSP00000109567.2;ENSMUSP00000097822.3;ENSMUSP00000115165.2;ENSMUSP00000159198.2;	20181
Mus_musculus	Nfe2l3	ENSMUSG00000029832	TF_bZIP	ENSMUSP00000005103.6;	NA
Mus_musculus	Ahrr	ENSMUSG00000021575	bHLH	ENSMUSP00000022059.8;	11624
Mus_musculus	Snai2	ENSMUSG00000022676	zf-C2H2	ENSMUSP00000023356.7;	20583
Mus_musculus	Zfp148	ENSMUSG00000022811	zf-C2H2	ENSMUSP00000126338.2;ENSMUSP00000156030.2;ENSMUSP00000087106.7;	22661
Mus_musculus	Rbpjl	ENSMUSG00000017007	CSL	ENSMUSP00000017151.2;	19668
Mus_musculus	Emx2	ENSMUSG00000043969	Homeobox	ENSMUSP00000053361.3;	13797
Mus_musculus	Zbtb25	ENSMUSG00000056459	ZBTB	ENSMUSP00000135853.2;ENSMUSP00000135817.2;ENSMUSP00000134748.2;ENSMUSP00000135434.2;ENSMUSP00000128471.2;	109929
Mus_musculus	Dlx2	ENSMUSG00000023391	Homeobox	ENSMUSP00000024159.7;	13392
Mus_musculus	Sim1	ENSMUSG00000019913	bHLH	ENSMUSP00000151816.2;ENSMUSP00000020071.4;	20464
Mus_musculus	Creb3l3	ENSMUSG00000035041	TF_bZIP	ENSMUSP00000112836.2;	208677
Mus_musculus	Otp	ENSMUSG00000021685	Homeobox	ENSMUSP00000022195.10;	18420
Mus_musculus	Pou2f3	ENSMUSG00000032015	Pou	ENSMUSP00000135115.2;ENSMUSP00000034513.6;	18988
Mus_musculus	Runx1	ENSMUSG00000022952	Runt	ENSMUSP00000139819.2;ENSMUSP00000131079.2;ENSMUSP00000109589.4;ENSMUSP00000023673.8;	12394
Mus_musculus	Gm11007	ENSMUSG00000094475	zf-C2H2	ENSMUSP00000136499.2;ENSMUSP00000139544.2;	100503949
Mus_musculus	4932411N23Rik	ENSMUSG00000058670	MYB	ENSMUSP00000079860.5;	237029
Mus_musculus	Foxn2	ENSMUSG00000034998	Fork_head	ENSMUSP00000118378.2;ENSMUSP00000107857.3;	14236
Mus_musculus	Zfp995	ENSMUSG00000078546	zf-C2H2	ENSMUSP00000139581.2;ENSMUSP00000101647.3;	70081
Mus_musculus	Zfp977	ENSMUSG00000092335	zf-C2H2	ENSMUSP00000134517.2;	637776
Mus_musculus	E2f7	ENSMUSG00000020185	E2F	ENSMUSP00000073453.6;ENSMUSP00000134039.2;ENSMUSP00000133494.2;	52679
Mus_musculus	Mafb	ENSMUSG00000074622	TF_bZIP	ENSMUSP00000096728.4;	16658
Mus_musculus	Patz1	ENSMUSG00000020453	ZBTB	ENSMUSP00000091103.6;ENSMUSP00000091103.6;ENSMUSP00000105670.2;ENSMUSP00000105670.2;ENSMUSP00000092043.4;ENSMUSP00000050684.7;	56218
Mus_musculus	Hoxc9	ENSMUSG00000036139	Homeobox	ENSMUSP00000001706.7;	15427
Mus_musculus	Zfp40	ENSMUSG00000002617	zf-C2H2	ENSMUSP00000121359.2;ENSMUSP00000039794.8;ENSMUSP00000128758.2;	22700
Mus_musculus	Gm14443	ENSMUSG00000078902	zf-C2H2	ENSMUSP00000104682.3;	NA
